Designator,Mid X,Mid Y,Rotation,Layer
C1,99.4287,-87.4522,180.0,top
C10,123.9651,-90.3224,0.0,top
C11,122.5003,-86.3854,90.0,top
C12,124.7891,-86.4362,90.0,top
C13,124.1937,-101.5492,0.0,top
C14,122.7328,-97.1296,90.0,top
C15,124.9161,-97.1042,90.0,top
C16,120.5992,-106.8709,90.0,top
C17,123.2662,-106.9555,90.0,top
C18,125.222,-107.1615,90.0,top
C2,107.3027,-87.5284,180.0,top
C3,117.4373,-87.5792,180.0,top
C4,99.2339,-85.0392,180.0,top
C5,107.1587,-85.0138,180.0,top
C6,117.3187,-85.0138,180.0,top
C7,99.1859,-82.804,180.0,top
C8,106.8821,-82.804,180.0,top
C9,117.1945,-82.9056,180.0,top
D1,99.317,-90.0176,180.0,top
D10,98.4242,-105.3592,180.0,top
D11,117.8052,-107.4958,90.0,top
D12,98.4496,-109.0168,180.0,top
D2,107.2418,-89.9922,180.0,top
D3,117.6304,-90.2462,180.0,top
D4,98.6282,-95.218,270.0,top
D5,106.426,-95.3704,270.0,top
D6,114.2492,-95.218,270.0,top
D7,123.5681,-92.8937,0.0,top
D8,98.4496,-101.7778,180.0,top
D9,112.2906,-105.2576,0.0,top
F1,102.0826,-93.983,270.0,top
F2,109.7788,-94.0846,270.0,top
F3,117.5512,-93.983,270.0,top
F4,105.7178,-101.9556,180.0,top
F5,105.7432,-105.3338,180.0,top
F6,105.794,-108.585,180.0,top
J1,99.2124,-74.2012,0.0,top
J2,112.2426,-74.2012,0.0,top
J3,124.5362,-74.1758,0.0,top
J4,133.1898,-86.0298,270.0,top
J5,133.139,-97.2566,270.0,top
J6,133.0628,-108.5342,270.0,top
J7,102.4968,-118.4852,180.0,top
J8,119.8958,-118.5134,180.0,top
